player,runs,balls,maiden,4s,6s,sr,match,team
Andy Balbirnie (c),6,7,11,0,1,85.71,Australia vs Ireland,Ireland
Lorcan Tucker †,71,48,81,9,1,147.91,Australia vs Ireland,Ireland
Harry Tector,6,4,3,1,0,150.00,Australia vs Ireland,Ireland
Curtis Campher,0,1,5,0,0,0.00,Australia vs Ireland,Ireland
George Dockrell,0,4,4,0,0,0.00,Australia vs Ireland,Ireland
Gareth Delany,14,10,27,2,0,140.00,Australia vs Ireland,Ireland
Mark Adair,11,11,13,1,0,100.00,Australia vs Ireland,Ireland
Fionn Hand,6,6,10,1,0,100.00,Australia vs Ireland,Ireland
Barry McCarthy,3,7,16,0,0,42.85,Australia vs Ireland,Ireland
Josh Little,1,5,6,0,0,20.00,Australia vs Ireland,Ireland
Rahmanullah Gurbaz †,28,24,33,2,2,116.66,Afghanistan vs Sri Lanka,Afghanistan
Usman Ghani,27,27,54,2,1,100.00,Afghanistan vs Sri Lanka,Afghanistan
Ibrahim Zadran,22,18,35,1,1,122.22,Afghanistan vs Sri Lanka,Afghanistan
Najibullah Zadran,18,16,29,1,0,112.50,Afghanistan vs Sri Lanka,Afghanistan
Gulbadin Naib,12,14,25,0,0,85.71,Afghanistan vs Sri Lanka,Afghanistan
Mohammad Nabi (c),13,8,15,1,0,162.50,Afghanistan vs Sri Lanka,Afghanistan
Rashid Khan,9,8,10,1,0,112.50,Afghanistan vs Sri Lanka,Afghanistan
Azmatullah Omarzai,3,4,3,0,0,75.00,Afghanistan vs Sri Lanka,Afghanistan
Mujeeb Ur Rahman,1,2,1,0,0,50.00,Afghanistan vs Sri Lanka,Afghanistan
Pathum Nissanka,10,10,10,2,0,100.00,Afghanistan vs Sri Lanka,Sri Lanka
Kusal Mendis †,25,27,33,2,1,92.59,Afghanistan vs Sri Lanka,Sri Lanka
Dhananjaya de Silva,66,42,78,6,2,157.14,Afghanistan vs Sri Lanka,Sri Lanka
Charith Asalanka,19,18,27,1,0,105.55,Afghanistan vs Sri Lanka,Sri Lanka
Bhanuka Rajapaksa,18,14,24,3,0,128.57,Afghanistan vs Sri Lanka,Sri Lanka
Dasun Shanaka (c),0,0,4,0,0,-,Afghanistan vs Sri Lanka,Sri Lanka
Jos Buttler (c)†,73,47,82,7,2,155.31,England vs New Zealand,England
Alex Hales,52,40,46,7,1,130.00,England vs New Zealand,England
Moeen Ali,5,6,13,0,0,83.33,England vs New Zealand,England
Liam Livingstone,20,14,20,1,1,142.85,England vs New Zealand,England
Harry Brook,7,3,6,0,1,233.33,England vs New Zealand,England
Ben Stokes,8,7,11,0,0,114.28,England vs New Zealand,England
Sam Curran,6,3,7,0,1,200.00,England vs New Zealand,England
Dawid Malan,3,1,1,0,0,300.00,England vs New Zealand,England
Finn Allen,16,11,25,0,1,145.45,England vs New Zealand,New Zealand
Devon Conway †,3,9,12,0,0,33.33,England vs New Zealand,New Zealand
Kane Williamson (c),40,40,57,3,0,100.00,England vs New Zealand,New Zealand
Glenn Phillips,62,36,64,4,3,172.22,England vs New Zealand,New Zealand
James Neesham,6,3,7,1,0,200.00,England vs New Zealand,New Zealand
Daryl Mitchell,3,5,10,0,0,60.00,England vs New Zealand,New Zealand
Mitchell Santner,16,10,19,0,1,160.00,England vs New Zealand,New Zealand
Ish Sodhi,6,6,4,0,0,100.00,England vs New Zealand,New Zealand
Wessly Madhevere,1,5,9,0,0,20.00,Zimbabwe vs Netherlands,Zimbabwe
Craig Ervine (c),3,12,18,0,0,25.00,Zimbabwe vs Netherlands,Zimbabwe
Regis Chakabva †,5,16,18,1,0,31.25,Zimbabwe vs Netherlands,Zimbabwe
Sean Williams,28,23,39,3,0,121.73,Zimbabwe vs Netherlands,Zimbabwe
Sikandar Raza,40,24,46,3,3,166.66,Zimbabwe vs Netherlands,Zimbabwe
Milton Shumba,2,3,6,0,0,66.66,Zimbabwe vs Netherlands,Zimbabwe
Ryan Burl,2,7,19,0,0,28.57,Zimbabwe vs Netherlands,Zimbabwe
Luke Jongwe,6,8,12,0,0,75.00,Zimbabwe vs Netherlands,Zimbabwe
Richard Ngarava,9,7,12,0,1,128.57,Zimbabwe vs Netherlands,Zimbabwe
Tendai Chatara,6,7,15,0,0,85.71,Zimbabwe vs Netherlands,Zimbabwe
Blessing Muzarabani,1,4,9,0,0,25.00,Zimbabwe vs Netherlands,Zimbabwe
Stephan Myburgh,8,7,15,0,1,114.28,Zimbabwe vs Netherlands,Netherlands
Max O'Dowd,52,47,70,8,1,110.63,Zimbabwe vs Netherlands,Netherlands
Tom Cooper,32,29,42,2,1,110.34,Zimbabwe vs Netherlands,Netherlands
Colin Ackermann,1,5,6,0,0,20.00,Zimbabwe vs Netherlands,Netherlands
Bas de Leede,12,12,21,2,0,100.00,Zimbabwe vs Netherlands,Netherlands
Scott Edwards (c)†,5,6,8,1,0,83.33,Zimbabwe vs Netherlands,Netherlands
Roelof van der Merwe,0,3,6,0,0,0.00,Zimbabwe vs Netherlands,Netherlands
KL Rahul,50,32,49,3,4,156.25,India vs Bangladesh,India
Rohit Sharma (c),2,8,18,0,0,25.00,India vs Bangladesh,India
Virat Kohli,64,44,84,8,1,145.45,India vs Bangladesh,India
Suryakumar Yadav,30,16,18,4,0,187.50,India vs Bangladesh,India
Hardik Pandya,5,6,8,0,0,83.33,India vs Bangladesh,India
Dinesh Karthik †,7,5,12,1,0,140.00,India vs Bangladesh,India
Axar Patel,7,6,6,1,0,116.66,India vs Bangladesh,India
Ravichandran Ashwin,13,6,9,1,1,216.66,India vs Bangladesh,India
Najmul Hossain Shanto,21,25,50,1,1,84.00,India vs Bangladesh,Bangladesh
Litton Das,60,27,40,7,3,222.22,India vs Bangladesh,Bangladesh
Shakib Al Hasan (c),13,12,24,2,0,108.33,India vs Bangladesh,Bangladesh
Afif Hossain,3,5,12,0,0,60.00,India vs Bangladesh,Bangladesh
Yasir Ali,1,3,8,0,0,33.33,India vs Bangladesh,Bangladesh
Nurul Hasan †,25,14,29,2,1,178.57,India vs Bangladesh,Bangladesh
Mosaddek Hossain,6,3,4,0,1,200.00,India vs Bangladesh,Bangladesh
Taskin Ahmed,12,7,22,1,1,171.42,India vs Bangladesh,Bangladesh
Mohammad Rizwan †,4,4,4,1,0,100.00,Pakistan vs South Africa,Pakistan
Babar Azam (c),6,15,29,0,0,40.00,Pakistan vs South Africa,Pakistan
Mohammad Haris,28,11,19,2,3,254.54,Pakistan vs South Africa,Pakistan
Shan Masood,2,6,11,0,0,33.33,Pakistan vs South Africa,Pakistan
Iftikhar Ahmed,51,35,73,3,2,145.71,Pakistan vs South Africa,Pakistan
Mohammad Nawaz,28,22,32,4,1,127.27,Pakistan vs South Africa,Pakistan
Shadab Khan,52,22,31,3,4,236.36,Pakistan vs South Africa,Pakistan
Mohammad Wasim,0,1,1,0,0,0.00,Pakistan vs South Africa,Pakistan
Naseem Shah,5,3,3,0,0,166.66,Pakistan vs South Africa,Pakistan
Haris Rauf,3,2,2,0,0,150.00,Pakistan vs South Africa,Pakistan
Temba Bavuma (c),36,19,39,4,1,189.47,Pakistan vs South Africa,South Africa
Quinton de Kock †,0,5,6,0,0,0.00,Pakistan vs South Africa,South Africa
Rilee Rossouw,7,6,10,0,1,116.66,Pakistan vs South Africa,South Africa
Aiden Markram,20,14,28,4,0,142.85,Pakistan vs South Africa,South Africa
Heinrich Klaasen,15,9,18,3,0,166.66,Pakistan vs South Africa,South Africa
Tristan Stubbs,18,18,28,0,1,100.00,Pakistan vs South Africa,South Africa
Wayne Parnell,3,4,9,0,0,75.00,Pakistan vs South Africa,South Africa
Kagiso Rabada,1,2,11,0,0,50.00,Pakistan vs South Africa,South Africa
Anrich Nortje,1,5,8,0,0,20.00,Pakistan vs South Africa,South Africa
Lungi Ngidi,4,1,5,1,0,400.00,Pakistan vs South Africa,South Africa
Tabraiz Shamsi,1,1,3,0,0,100.00,Pakistan vs South Africa,South Africa
Finn Allen,32,18,30,5,1,177.77,New Zealand vs Ireland,New Zealand
Devon Conway †,28,33,55,2,0,84.84,New Zealand vs Ireland,New Zealand
Kane Williamson (c),61,35,59,5,3,174.28,New Zealand vs Ireland,New Zealand
Glenn Phillips,17,9,9,2,1,188.88,New Zealand vs Ireland,New Zealand
Daryl Mitchell,31,21,35,2,0,147.61,New Zealand vs Ireland,New Zealand
James Neesham,0,1,3,0,0,0.00,New Zealand vs Ireland,New Zealand
Mitchell Santner,0,1,2,0,0,0.00,New Zealand vs Ireland,New Zealand
Tim Southee,1,2,7,0,0,50.00,New Zealand vs Ireland,New Zealand
Paul Stirling,37,27,39,3,1,137.03,New Zealand vs Ireland,Ireland
Andy Balbirnie (c),30,25,36,0,3,120.00,New Zealand vs Ireland,Ireland
Lorcan Tucker †,13,14,30,0,0,92.85,New Zealand vs Ireland,Ireland
Harry Tector,2,7,4,0,0,28.57,New Zealand vs Ireland,Ireland
Gareth Delany,10,8,12,2,0,125.00,New Zealand vs Ireland,Ireland
George Dockrell,23,15,24,3,0,153.33,New Zealand vs Ireland,Ireland
Curtis Campher,7,7,10,1,0,100.00,New Zealand vs Ireland,Ireland
Fionn Hand,5,3,7,1,0,166.66,New Zealand vs Ireland,Ireland
Mark Adair,4,5,9,0,0,80.00,New Zealand vs Ireland,Ireland
Barry McCarthy,6,5,10,0,0,120.00,New Zealand vs Ireland,Ireland
Josh Little,8,4,3,0,1,200.00,New Zealand vs Ireland,Ireland
David Warner,25,18,28,5,0,138.88,Australia vs Afghanistan,Australia
Cameron Green,3,2,12,0,0,150.00,Australia vs Afghanistan,Australia
Mitchell Marsh,45,30,42,3,2,150.00,Australia vs Afghanistan,Australia
Steven Smith,4,4,6,1,0,100.00,Australia vs Afghanistan,Australia
Marcus Stoinis,25,21,41,0,2,119.04,Australia vs Afghanistan,Australia
Glenn Maxwell,54,32,46,6,2,168.75,Australia vs Afghanistan,Australia
Matthew Wade (c)†,6,8,14,1,0,75.00,Australia vs Afghanistan,Australia
Pat Cummins,0,2,4,0,0,0.00,Australia vs Afghanistan,Australia
Kane Richardson,1,1,6,0,0,100.00,Australia vs Afghanistan,Australia
Adam Zampa,1,1,5,0,0,100.00,Australia vs Afghanistan,Australia
Rahmanullah Gurbaz †,30,17,31,2,2,176.47,Australia vs Afghanistan,Afghanistan
Usman Ghani,2,7,16,0,0,28.57,Australia vs Afghanistan,Afghanistan
Ibrahim Zadran,26,33,55,2,0,78.78,Australia vs Afghanistan,Afghanistan
Gulbadin Naib,39,23,38,3,2,169.56,Australia vs Afghanistan,Afghanistan
Mohammad Nabi (c),1,2,10,0,0,50.00,Australia vs Afghanistan,Afghanistan
Najibullah Zadran,0,2,3,0,0,0.00,Australia vs Afghanistan,Afghanistan
Darwish Rasooli,15,13,28,1,0,115.38,Australia vs Afghanistan,Afghanistan
Rashid Khan,48,23,27,3,4,208.69,Australia vs Afghanistan,Afghanistan
Naveen-ul-Haq,0,0,4,0,0,-,Australia vs Afghanistan,Afghanistan
Pathum Nissanka,67,45,70,2,5,148.88,Sri Lanka vs England,Sri Lanka
Kusal Mendis †,18,14,21,1,1,128.57,Sri Lanka vs England,Sri Lanka
Dhananjaya de Silva,9,11,17,0,0,81.81,Sri Lanka vs England,Sri Lanka
Charith Asalanka,8,9,15,0,0,88.88,Sri Lanka vs England,Sri Lanka
Bhanuka Rajapaksa,22,22,41,3,0,100.00,Sri Lanka vs England,Sri Lanka
Dasun Shanaka (c),3,8,12,0,0,37.50,Sri Lanka vs England,Sri Lanka
Wanindu Hasaranga de Silva,9,9,13,1,0,100.00,Sri Lanka vs England,Sri Lanka
Chamika Karunaratne,0,2,3,0,0,0.00,Sri Lanka vs England,Sri Lanka
Maheesh Theekshana,0,0,2,0,0,-,Sri Lanka vs England,Sri Lanka
Jos Buttler (c)†,28,23,35,2,1,121.73,Sri Lanka vs England,England
Alex Hales,47,30,42,7,1,156.66,Sri Lanka vs England,England
Ben Stokes,42,36,59,2,0,116.66,Sri Lanka vs England,England
Harry Brook,4,5,9,0,0,80.00,Sri Lanka vs England,England
Liam Livingstone,4,6,10,0,0,66.66,Sri Lanka vs England,England
Moeen Ali,1,5,8,0,0,20.00,Sri Lanka vs England,England
Sam Curran,6,11,16,0,0,54.54,Sri Lanka vs England,England
Chris Woakes,5,3,11,1,0,166.66,Sri Lanka vs England,England
Stephan Myburgh,37,30,41,7,0,123.33,Netherlands vs South Africa,Netherlands
Max O'Dowd,29,31,61,1,1,93.54,Netherlands vs South Africa,Netherlands
Tom Cooper,35,19,30,2,2,184.21,Netherlands vs South Africa,Netherlands
Colin Ackermann,41,26,31,3,2,157.69,Netherlands vs South Africa,Netherlands
Bas de Leede,1,7,11,0,0,14.28,Netherlands vs South Africa,Netherlands
Scott Edwards (c)†,12,7,11,2,0,171.42,Netherlands vs South Africa,Netherlands
Quinton de Kock †,13,13,12,1,1,100.00,Netherlands vs South Africa,South Africa
Temba Bavuma (c),20,20,26,2,0,100.00,Netherlands vs South Africa,South Africa
Rilee Rossouw,25,19,29,2,0,131.57,Netherlands vs South Africa,South Africa
Aiden Markram,17,13,30,2,0,130.76,Netherlands vs South Africa,South Africa
David Miller,17,17,28,1,0,100.00,Netherlands vs South Africa,South Africa
Heinrich Klaasen,21,18,27,0,1,116.66,Netherlands vs South Africa,South Africa
Wayne Parnell,0,2,3,0,0,0.00,Netherlands vs South Africa,South Africa
Keshav Maharaj,13,12,20,0,1,108.33,Netherlands vs South Africa,South Africa
Kagiso Rabada,9,8,13,0,0,112.50,Netherlands vs South Africa,South Africa
Anrich Nortje,4,1,2,1,0,400.00,Netherlands vs South Africa,South Africa
Najmul Hossain Shanto,54,48,66,7,0,112.50,Bangladesh vs Pakistan,Bangladesh
Litton Das,10,8,15,0,1,125.00,Bangladesh vs Pakistan,Bangladesh
Soumya Sarkar,20,17,38,1,1,117.64,Bangladesh vs Pakistan,Bangladesh
Shakib Al Hasan (c),0,1,4,0,0,0.00,Bangladesh vs Pakistan,Bangladesh
Afif Hossain,24,20,47,3,0,120.00,Bangladesh vs Pakistan,Bangladesh
Mosaddek Hossain,5,11,17,0,0,45.45,Bangladesh vs Pakistan,Bangladesh
Nurul Hasan †,0,3,4,0,0,0.00,Bangladesh vs Pakistan,Bangladesh
Taskin Ahmed,1,5,8,0,0,20.00,Bangladesh vs Pakistan,Bangladesh
Nasum Ahmed,7,6,9,1,0,116.66,Bangladesh vs Pakistan,Bangladesh
Mustafizur Rahman,0,1,1,0,0,0.00,Bangladesh vs Pakistan,Bangladesh
Mohammad Rizwan †,32,32,51,2,1,100.00,Bangladesh vs Pakistan,Pakistan
Babar Azam (c),25,33,46,2,0,75.75,Bangladesh vs Pakistan,Pakistan
Mohammad Nawaz,4,11,27,0,0,36.36,Bangladesh vs Pakistan,Pakistan
Mohammad Haris,31,18,31,1,2,172.22,Bangladesh vs Pakistan,Pakistan
Shan Masood,24,14,20,2,0,171.42,Bangladesh vs Pakistan,Pakistan
Iftikhar Ahmed,1,3,8,0,0,33.33,Bangladesh vs Pakistan,Pakistan
Shadab Khan,0,0,2,0,0,-,Bangladesh vs Pakistan,Pakistan
KL Rahul,51,35,59,3,3,145.71,India vs Zimbabwe,India
Rohit Sharma (c),15,13,20,2,0,115.38,India vs Zimbabwe,India
Virat Kohli,26,25,36,2,0,104.00,India vs Zimbabwe,India
Suryakumar Yadav,61,25,44,6,4,244.00,India vs Zimbabwe,India
Rishabh Pant †,3,5,7,0,0,60.00,India vs Zimbabwe,India
Hardik Pandya,18,18,29,2,0,100.00,India vs Zimbabwe,India
Axar Patel,0,0,6,0,0,-,India vs Zimbabwe,India
Wessly Madhevere,0,1,1,0,0,0.00,India vs Zimbabwe,Zimbabwe
Craig Ervine (c),13,15,37,2,0,86.66,India vs Zimbabwe,Zimbabwe
Regis Chakabva †,0,6,9,0,0,0.00,India vs Zimbabwe,Zimbabwe
Sean Williams,11,18,22,0,1,61.11,India vs Zimbabwe,Zimbabwe
Sikandar Raza,34,24,53,3,0,141.66,India vs Zimbabwe,Zimbabwe
Tony Munyonga,5,4,6,1,0,125.00,India vs Zimbabwe,Zimbabwe
Ryan Burl,35,22,27,5,1,159.09,India vs Zimbabwe,Zimbabwe
Wellington Masakadza,1,7,8,0,0,14.28,India vs Zimbabwe,Zimbabwe
Richard Ngarava,1,2,4,0,0,50.00,India vs Zimbabwe,Zimbabwe
Tendai Chatara,4,4,11,1,0,100.00,India vs Zimbabwe,Zimbabwe
Blessing Muzarabani,0,2,5,0,0,0.00,India vs Zimbabwe,Zimbabwe
Finn Allen,4,3,6,1,0,133.33,New Zealand vs Pakistan,New Zealand
Devon Conway †,21,20,35,3,0,105.00,New Zealand vs Pakistan,New Zealand
Kane Williamson (c),46,42,81,1,1,109.52,New Zealand vs Pakistan,New Zealand
Glenn Phillips,6,8,9,1,0,75.00,New Zealand vs Pakistan,New Zealand
Daryl Mitchell,53,35,60,3,1,151.42,New Zealand vs Pakistan,New Zealand
James Neesham,16,12,19,1,0,133.33,New Zealand vs Pakistan,New Zealand
Mohammad Rizwan †,57,43,77,5,0,132.55,New Zealand vs Pakistan,Pakistan
Babar Azam (c),53,42,56,7,0,126.19,New Zealand vs Pakistan,Pakistan
Mohammad Haris,30,26,32,2,1,115.38,New Zealand vs Pakistan,Pakistan
Shan Masood,3,4,13,0,0,75.00,New Zealand vs Pakistan,Pakistan
Iftikhar Ahmed,0,0,3,0,0,-,New Zealand vs Pakistan,Pakistan
KL Rahul,5,5,8,1,0,100.00,India vs England,India
Rohit Sharma (c),27,28,37,4,0,96.42,India vs England,India
Virat Kohli,50,40,75,4,1,125.00,India vs England,India
Suryakumar Yadav,14,10,14,1,1,140.00,India vs England,India
Hardik Pandya,63,33,47,4,5,190.90,India vs England,India
Rishabh Pant †,6,4,13,1,0,150.00,India vs England,India
Ravichandran Ashwin,0,0,4,0,0,-,India vs England,India
Jos Buttler (c)†,80,49,74,9,3,163.26,India vs England,England
Alex Hales,86,47,74,4,7,182.97,India vs England,England
Mohammad Rizwan †,15,14,24,0,1,107.14,Pakistan vs England,Pakistan
Babar Azam (c),32,28,58,2,0,114.28,Pakistan vs England,Pakistan
Mohammad Haris,8,12,15,1,0,66.66,Pakistan vs England,Pakistan
Shan Masood,38,28,46,2,1,135.71,Pakistan vs England,Pakistan
Iftikhar Ahmed,0,6,8,0,0,0.00,Pakistan vs England,Pakistan
Shadab Khan,20,14,26,2,0,142.85,Pakistan vs England,Pakistan
Mohammad Nawaz,5,7,11,0,0,71.42,Pakistan vs England,Pakistan
Mohammad Wasim,4,8,12,0,0,50.00,Pakistan vs England,Pakistan
Shaheen Shah Afridi,5,3,8,1,0,166.66,Pakistan vs England,Pakistan
Haris Rauf,1,1,3,0,0,100.00,Pakistan vs England,Pakistan
Jos Buttler (c)†,26,17,33,3,1,152.94,Pakistan vs England,England
Alex Hales,1,2,6,0,0,50.00,Pakistan vs England,England
Phil Salt,10,9,16,2,0,111.11,Pakistan vs England,England
Ben Stokes,52,49,81,5,1,106.12,Pakistan vs England,England
Harry Brook,20,23,36,1,0,86.95,Pakistan vs England,England
Moeen Ali,19,13,30,3,0,146.15,Pakistan vs England,England
Liam Livingstone,1,1,3,0,0,100.00,Pakistan vs England,England
